id,data_year,school_name,private_flag,school_type,school_region,urbanization_level,enrollment_quota,new_student_count,stability,enrollment_rate,tuition_revenue_ratio,debt_ratio,net_income_ratio,totur_flag,closure_flag
66,106,康寧學校財團法人康寧大學,1,一般大學,臺北市內湖區,2,1580,1233,92.26,78.04,59.73,3.85,40.27,0,0
67,106,慈濟學校財團法人慈濟大學,1,一般大學,花蓮縣花蓮市,4,935,724,96.95,77.68,21.53,2.3,78.47,0,0
68,106,明道學校財團法人明道大學,1,一般大學,彰化縣埤頭鄉,6,1676,876,94.08,52.49,57.21,14.38,42.79,0,0
69,106,東吳大學,1,一般大學,臺北市士林區,2,3907,3650,97.6,93.45,62.34,7.81,37.66,0,0
70,106,東海大學,1,一般大學,臺中市西屯區,2,4329,3850,97.78,89.06,60.08,7.74,39.92,0,0
71,106,法鼓學校財團法人法鼓文理學院,1,一般大學,新北市金山區,6,117,70,95.24,72.92,7.39,3.38,92.61,0,0
72,106,淡江大學學校財團法人淡江大學,1,一般大學,新北市淡水區,3,6924,5807,96.97,83.94,63.18,17.77,36.82,0,0
73,106,玄奘大學,1,一般大學,新竹市香山區,3,1735,832,93.92,47.95,59.98,4.19,40.02,0,0
74,106,真理大學,1,一般大學,新北市淡水區,3,1987,1259,94.68,63.36,76.45,15.07,23.55,0,0
75,106,稻江科技暨管理學院,1,一般大學,嘉義縣朴子市,4,895,768,92.41,85.81,70.33,4.47,29.67,0,0
76,106,義守大學,1,一般大學,高雄市大樹區,6,4171,3339,96.13,81.28,58.34,7.74,41.66,0,0
77,106,臺北醫學大學,1,一般大學,臺北市信義區,1,1381,1277,98.24,92.67,15.56,28.36,84.44,0,0
78,106,華梵大學,1,一般大學,新北市石碇區,6,1144,371,93.32,32.43,49.42,1.77,50.58,0,0
79,106,輔仁大學,1,一般大學,新北市新莊區,1,6795,6189,97.08,91.19,58.3,28.35,41.7,0,0
80,106,逢甲大學,1,一般大學,臺中市西屯區,2,5503,5114,97.46,92.96,53.15,29.51,46.85,0,0
81,106,銘傳大學,1,一般大學,臺北市士林區,2,4746,4420,97.74,93.13,67.49,3.73,32.51,0,0
